madb_id,medium,duplicated,id,title,suffix,ruby,started_year,started_month,started_day,ended_year,ended_month,ended_day,broadcast,author,original_title,madb_uri,official_uri,memo
ANS000692200,劇場,,WFbLKG4iL2P,芋川椋三玄関番之巻,,イモカワムクゾウゲンカンバンノマキ,1917,1,,,,,東京・浅草キネマ倶楽部封切,-,,http://mediaarts-db.jp/an/anime_series/12014,,
ANS000000200,劇場,,4CiZpE6R575,凸凹新画帳 名案の失敗,,デコボコシンガチョウ メイアンノシッパイ,1917,2,,,,,-,-,,http://mediaarts-db.jp/an/anime_series/1,,
ANS000000300,劇場,,eqWcm8MTE3T,茶目坊新画帳 蚤夫婦仕返しの巻,,チャメボウシンガチョウ ノミフウフシカエシノマキ,1917,4,28,,,,浅草キネマ倶楽部,-,,http://mediaarts-db.jp/an/anime_series/3,,
ANS000000400,劇場,,HVkY2CENMMq,猿蟹合戦,1917,サルカニガッセン,1917,5,20,,,,-,サルカニ合戦,,http://mediaarts-db.jp/an/anime_series/5,,
ANS000000500,劇場,,M6u39hmNRLg,夢の自動車,,ユメノジドウシャ,1917,5,,,,,-,-,,http://mediaarts-db.jp/an/anime_series/7,,
ANS002025100,劇場,,XbVpZPZU7Jh,塙凹内名刀之巻,,ハナワヘコナイメイトウノマキ,1917,6,30,,,,6月30日浅草帝国館封切,-,,http://mediaarts-db.jp/an/anime_series/16772,,
ANS002000200,劇場,,u9MfdARLyAF,猫と鼠,,ネコトネズミ,1917,7,4,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16310,,
ANS000000900,劇場,,3yuVKtYE3m3,いたずらポスト,,イタズラポスト,1917,7,28,,,,-,-,,http://mediaarts-db.jp/an/anime_series/11,,
ANS000001000,劇場,,aFpm3QfP9zb,茶目坊空気銃の巻,,チャメボウクウキジュウノマキ,1917,8,11,,,,浅草帝国館,-,,http://mediaarts-db.jp/an/anime_series/13,,
ANS002000100,劇場,,uNChEtnrWpu,花咲爺,,ハナサカジジイ,1917,8,26,,,,-,,[花咲爺の唱歌],http://mediaarts-db.jp/an/anime_series/16308,,
ANS000001200,劇場,,bciKVaC3RnX,茶目坊主魚釣の巻,,チャメボウサカナツリノマキ,1917,9,9,,,,-,-,,http://mediaarts-db.jp/an/anime_series/17,,
ANS002000300,劇場,,6Caxk6BmdRx,貯金の勧,,チョキンノススメ,1917,10,7,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16312,,
ANS002000500,劇場,,8pjn4AqZwYk,お伽噺 文福茶釜,,オトギバナシ ブンブクチャガマ,1917,10,10,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16314,,
ANS002000800,劇場,,dKRCVfJXhxG,カチカチ山,1917,カチカチヤマ,1917,10,18,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16318,,
ANS002000700,劇場,,cHReRWWCXKb,舌切雀,1917,シタキリスズメ,1917,10,18,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16316,,
ANS002000900,劇場,,4x4GX4VTWLC,塵も積もれば山となる,,チリモツモレバヤマトナル,1917,,,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16320,,
ANS000001700,劇場,,JFhiaPSYAwe,塙凹内 かっぱまつり,,ハナワヘコナイ カッパマツリ,1917,,,,,,-,-,,http://mediaarts-db.jp/an/anime_series/21,,
ANS000000600,劇場,,8eFaUvAS3Q3,芋川椋三宙返りの巻,,イモカワムクゾウチュウガエリノマキ,1917,,,,,,-,-,,http://mediaarts-db.jp/an/anime_series/9,,
ANS002001000,劇場,,bFvqotWZKtw,浦島太郎,1918,ウラシマタロウ,1918,2,1,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16322,,
ANS000001900,劇場,,WnnKmhhawoA,雪達磨,,ユキダルマ,1918,2,15,,,,浅草オペラ館,-,,http://mediaarts-db.jp/an/anime_series/25,,
ANS000002000,劇場,,XoYib5Visq7,蛙の夢,,カエルノユメ,1918,2,28,,,,-,-,,http://mediaarts-db.jp/an/anime_series/27,,
ANS002001100,劇場,,ZQpdQACM6LC,桃太郎,,モモタロウ,1918,3,1,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16324,,
ANS002001200,劇場,,8yeneR7cUBA,金太郎,1918,キンタロウ,1918,3,16,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16326,,
ANS002001300,劇場,,hNWpt9ouLGG,瘤取り,1918,コブトリ,1918,3,19,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16328,,
ANS002001400,劇場,,H2tWxqK75g5,一寸法師,1918,イッスンボウシ,1918,3,20,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16330,,
ANS002013800,不明,,adqpycMkFZe,太郎の番兵,,タロウノバンペイ,1918,3,30,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16554,,
ANS002001500,劇場,,pi6ekTUQNXh,太郎の兵隊,,タロウノバンペイ,1918,3,30,,,,-,-,,http://mediaarts-db.jp/an/anime_series/16332,,
