madb_1_title,madb_1_ruby,madb_2_title,madb_2_ruby,animedb_title,animedb_ruby,madb_id,madb_uri
芋川椋三玄関番之巻,イモカワムクゾウゲンカンバンノマキ,芋川椋三玄関番之巻,イモカワムクゾウゲンカンバンノマキ,芋川椋三玄関番之巻,イモカワムクゾウゲンカンバンノマキ,ANS000692200,http://mediaarts-db.jp/an/anime_series/12014
凸凹新画帳 名案の失敗,デコボコシンガチョウ　メイアンノシッパイ,凸凹新画帳 名案の失敗,デコボコシンガチョウ　メイアンノシッパイ,凸凹新画帳 名案の失敗,デコボコシンガチョウ メイアンノシッパイ,ANS000000200,http://mediaarts-db.jp/an/anime_series/1
茶目坊新画帳 蚤夫婦仕返しの巻,チャメボウシンガチョウ　ノミフウフシカエシノマキ,茶目坊新画帳 蚤夫婦仕返しの巻,チャメボウシンガチョウ　ノミフウフシカエシノマキ,茶目坊新画帳 蚤夫婦仕返しの巻,チャメボウシンガチョウ ノミフウフシカエシノマキ,ANS000000300,http://mediaarts-db.jp/an/anime_series/3
猿蟹合戦,サルカニガッセン,猿蟹合戦,サルカニガッセン,猿蟹合戦,サルカニガッセン,ANS000000400,http://mediaarts-db.jp/an/anime_series/5
夢の自動車,ユメノジドウシャ,夢の自動車,ユメノジドウシャ,夢の自動車,ユメノジドウシャ,ANS000000500,http://mediaarts-db.jp/an/anime_series/7
塙凹内名刀（新刀）之巻（なまくら刀）,ハナワヘコナイメイトウノマキ,塙凹内名刀（新刀）之巻（なまくら刀）,ハナワヘコナイメイトウノマキ,塙凹内名刀之巻,ハナワヘコナイメイトウノマキ,ANS002025100,http://mediaarts-db.jp/an/anime_series/16772
猫と鼠,ネコトネズミ,猫と鼠,ネコトネズミ,猫と鼠,ネコトネズミ,ANS002000200,http://mediaarts-db.jp/an/anime_series/16310
いたずらポスト,イタズラポスト,いたずらポスト,イタズラポスト,いたずらポスト,イタズラポスト,ANS000000900,http://mediaarts-db.jp/an/anime_series/11
茶目坊空気銃の巻,チャメボウクウキジュウノマキ,茶目坊空気銃の巻,チャメボウクウキジュウノマキ,茶目坊空気銃の巻,チャメボウクウキジュウノマキ,ANS000001000,http://mediaarts-db.jp/an/anime_series/13
花咲爺,ハナサカジジイ,花咲爺,ハナサカジジイ,花咲爺,ハナサカジジイ,ANS002000100,http://mediaarts-db.jp/an/anime_series/16308
茶目坊主魚釣の巻,チャメボウサカナツリノマキ,茶目坊主魚釣の巻,チャメボウサカナツリノマキ,茶目坊主魚釣の巻,チャメボウサカナツリノマキ,ANS000001200,http://mediaarts-db.jp/an/anime_series/17
貯金の勧,チョキンノススメ,貯金の勧,チョキンノススメ,貯金の勧,チョキンノススメ,ANS002000300,http://mediaarts-db.jp/an/anime_series/16312
お伽噺 文福茶釜,オトギバナシ　ブンブクチャガマ,お伽噺 文福茶釜,オトギバナシ　ブンブクチャガマ,お伽噺 文福茶釜,オトギバナシ ブンブクチャガマ,ANS002000500,http://mediaarts-db.jp/an/anime_series/16314
カチカチ山,カチカチヤマ,カチカチ山,カチカチヤマ,カチカチ山,カチカチヤマ,ANS002000800,http://mediaarts-db.jp/an/anime_series/16318
舌切雀,シタキリスズメ,舌切雀,シタキリスズメ,舌切雀,シタキリスズメ,ANS002000700,http://mediaarts-db.jp/an/anime_series/16316
塵も積もれば山となる,チリモツモレバヤマトナル,塵も積もれば山となる,チリモツモレバヤマトナル,塵も積もれば山となる,チリモツモレバヤマトナル,ANS002000900,http://mediaarts-db.jp/an/anime_series/16320
塙凹内 かっぱまつり,ハナワヘコナイ　カッパマツリ,塙凹内 かっぱまつり,ハナワヘコナイ　カッパマツリ,塙凹内 かっぱまつり,ハナワヘコナイ カッパマツリ,ANS000001700,http://mediaarts-db.jp/an/anime_series/21
芋川椋三宙返りの巻,イモカワムクゾウチュウガエリノマキ,芋川椋三宙返りの巻,イモカワムクゾウチュウガエリノマキ,芋川椋三宙返りの巻,イモカワムクゾウチュウガエリノマキ,ANS000000600,http://mediaarts-db.jp/an/anime_series/9
浦島太郎,ウラシマタロウ,浦島太郎,ウラシマタロウ,浦島太郎,ウラシマタロウ,ANS002001000,http://mediaarts-db.jp/an/anime_series/16322
雪達磨,ユキダルマ,雪達磨,ユキダルマ,雪達磨,ユキダルマ,ANS000001900,http://mediaarts-db.jp/an/anime_series/25
蛙の夢,カエルノユメ,蛙の夢,カエルノユメ,蛙の夢,カエルノユメ,ANS000002000,http://mediaarts-db.jp/an/anime_series/27
桃太郎,モモタロウ,桃太郎,モモタロウ,桃太郎,モモタロウ,ANS002001100,http://mediaarts-db.jp/an/anime_series/16324
金太郎,キンタロウ,金太郎,キンタロウ,金太郎,キンタロウ,ANS002001200,http://mediaarts-db.jp/an/anime_series/16326
瘤取り,コブトリ,瘤取り,コブトリ,瘤取り,コブトリ,ANS002001300,http://mediaarts-db.jp/an/anime_series/16328
一寸法師,イッスンボウシ,一寸法師,イッスンボウシ,一寸法師,イッスンボウシ,ANS002001400,http://mediaarts-db.jp/an/anime_series/16330
太郎の番兵,タロウノバンペイ,太郎の番兵,タロウノバンペイ,太郎の番兵,タロウノバンペイ,ANS002013800,http://mediaarts-db.jp/an/anime_series/16554
太郎の兵隊,タロウノバンペイ,太郎の兵隊,タロウノバンペイ,太郎の兵隊,タロウノバンペイ,ANS002001500,http://mediaarts-db.jp/an/anime_series/16332
解けちがい,カケチガイ,解けちがい,カケチガイ,解けちがい,カケチガイ,ANS002001700,http://mediaarts-db.jp/an/anime_series/16336
腰折燕,コシオリツバメ,腰折燕,コシオリツバメ,腰折燕,コシオリツバメ,ANS002001600,http://mediaarts-db.jp/an/anime_series/16334
蟻と鳩,アリトハト,蟻と鳩,アリトハト,蟻と鳩,アリトハト,ANS002001800,http://mediaarts-db.jp/an/anime_series/16338
太郎の番兵（兵隊）・潜水艇の巻,タロウノバンペイ（ヘイタイ）・センスイテイノマキ,太郎の番兵（兵隊）・潜水艇の巻,タロウノバンペイ（ヘイタイ）・センスイテイノマキ,太郎の番兵（兵隊）・潜水艇の巻,タロウノバンペイ ヘイタイ センスイテイノマキ,ANS002013900,http://mediaarts-db.jp/an/anime_series/16556
太郎の兵隊 潜航艇の巻,タロウノヘイタイ　センコウテイノマキ,太郎の兵隊 潜航艇の巻,タロウノヘイタイ　センコウテイノマキ,太郎の兵隊 潜航艇の巻,タロウノヘイタイ センコウテイノマキ,ANS000002700,http://mediaarts-db.jp/an/anime_series/33
気圧と水揚ポンプ,キアツトミズアゲポンプ,気圧と水揚ポンプ,キアツトミズアゲポンプ,気圧と水揚ポンプ,キアツトミズアゲポンプ,ANS002001900,http://mediaarts-db.jp/an/anime_series/16340
植物生理・生殖の巻,ショクブツセイリ・セイショクノマキ,植物生理・生殖の巻,ショクブツセイリ・セイショクノマキ,植物生理・生殖の巻,ショクブツセイリ セイショクノマキ,ANS002002100,http://mediaarts-db.jp/an/anime_series/16344
地球の巻,チキュウノマキ,地球の巻,チキュウノマキ,地球の巻,チキュウノマキ,ANS002002000,http://mediaarts-db.jp/an/anime_series/16342
舌切雀,シタキリスズメ,舌切雀,シタキリスズメ,舌切雀,シタキリスズメ,ANS000001500,http://mediaarts-db.jp/an/anime_series/19
転ばぬ先の杖,コロバヌサキノツエ,転ばぬ先の杖,コロバヌサキノツエ,転ばぬ先の杖,コロバヌサキノツエ,ANS002002200,http://mediaarts-db.jp/an/anime_series/16346
悪魔祓い,アクマバライ,悪魔祓い,アクマバライ,悪魔祓い,アクマバライ,ANS002002300,http://mediaarts-db.jp/an/anime_series/16348
雪,ユキ,雪,ユキ,雪,ユキ,ANS002002400,http://mediaarts-db.jp/an/anime_series/16350
人気の焦点に立てる後藤新平,ニンキノショウテンニタテルゴトウシンペイ,人気の焦点に立てる後藤新平,ニンキノショウテンニタテルゴトウシンペイ,人気の焦点に立てる後藤新平,ニンキノショウテンニタテルゴトウシンペイ,ANS000002900,http://mediaarts-db.jp/an/anime_series/37
